,idx,person,sample,subsample,rating
0,22,anon,23,5,1.5
1,22,anon,23,2r,3.3
2,22,anon,23,4,4.5
3,22,anon,23,1r,3.0
0,26,anon,23,2r,4.5
1,26,anon,23,1r,4.0
2,26,anon,23,5,1.0
0,19,mnt,23,2r,2.2
1,19,mnt,23,3r,2.5
2,19,mnt,23,1r,3.5
3,19,mnt,23,5,1.0
4,19,mnt,23,4,2.0
0,28,anon,23,3r,3.6
1,28,anon,23,2r,4.1
2,28,anon,23,5,2.0
0,25,anon,23,2r,1.8
1,25,anon,23,3r,2.4
2,25,anon,23,5,1.0
3,25,anon,23,4,3.5
4,25,anon,23,1r,3.5
0,08,kw,23,5,1.5
1,08,kw,23,1r,3.0
2,08,kw,23,2r,4.0
3,08,kw,23,3r,4.5
4,08,kw,23,4,4.7
0,14,anon,23,2r,2.0
1,14,anon,23,3r,2.5
2,14,anon,23,5,1.0
3,14,anon,23,4,4.0
4,14,anon,23,1r,2.5
0,07,hlm,23,2r,3.0
1,07,hlm,23,1r,3.0
2,07,hlm,23,3r,4.0
3,07,hlm,23,4,4.0
4,07,hlm,23,5,1.5
0,30,anon,23,5,1.0
1,30,anon,23,3r,2.1
2,30,anon,23,2r,2.5
3,30,anon,23,1r,1.4
4,30,anon,23,4,3.0
0,20,anon,23,1r,3.0
1,20,anon,23,4,3.5
2,20,anon,23,3r,2.5
3,20,anon,23,2r,2.5
4,20,anon,23,5,1.0
0,01,garf,23,4,4.2
1,01,garf,23,1r,4.6
2,01,garf,23,2r,2.5
3,01,garf,23,3r,3.0
4,01,garf,23,5,1.0
0,04,anon,23,3r,3.5
1,04,anon,23,5,1.0
2,04,anon,23,2r,3.5
3,04,anon,23,4,4.7
4,04,anon,23,1r,3.9
0,12,igorc,23,3r,3.1
1,12,igorc,23,4,4.0
2,12,igorc,23,1r,3.0
3,12,igorc,23,5,1.0
4,12,igorc,23,2r,2.5
0,29,anon,23,2r,3.5
1,29,anon,23,3r,4.0
2,29,anon,23,5,1.0
3,29,anon,23,4,4.0
0,06,anon,23,5,1.4
1,06,anon,23,1r,4.0
2,06,anon,23,4,4.4
3,06,anon,23,3r,3.4
4,06,anon,23,2r,3.4
0,26,anon,03,5,4.0
0,16,anon,03,2r,4.5
1,16,anon,03,5,4.0
0,10,anon,03,5,3.5
1,10,anon,03,2r,4.5
0,28,anon,03,5,3.4
1,28,anon,03,,4.2
0,13,r2d2,03,4,4.5
1,13,r2d2,03,5,2.0
